lr,ster_lm,ster_ref_lm,neg_log_ratio,loss_npo,anti,kl,total,batch
8e-06,5.101,5.01,0.09,6.886,1.121,1.232,9.239,0
1.882e-05,5.381,5.44,-0.059,6.961,1.205,1.232,9.398,20
1.755e-05,4.353,4.225,0.128,6.868,1.318,1.258,9.444,40
1.62e-05,4.016,3.686,0.329,6.768,1.058,1.266,9.091,60
1.486e-05,4.878,4.249,0.629,6.622,1.085,1.206,8.913,80
1.6e-05,3.325,3.291,0.034,6.915,1.24,1.258,9.412,100
1.947e-05,4.253,4.137,0.116,6.874,1.276,1.217,9.367,120
1.894e-05,3.11,3.022,0.088,6.888,0.838,1.282,9.008,140
1.6e-05,3.771,3.584,0.188,6.838,1.293,1.243,9.374,160
1.947e-05,4.23,4.086,0.144,6.86,1.324,1.227,9.411,180
1.894e-05,2.998,2.772,0.226,6.819,1.337,1.231,9.387,200
1.84e-05,5.854,5.451,0.402,6.732,1.431,1.209,9.372,220
1.6e-05,5.092,4.669,0.423,6.722,1.156,1.249,9.127,240
1.947e-05,4.922,4.527,0.395,6.736,1.121,1.23,9.087,260
1.894e-05,4.972,4.12,0.852,6.514,1.245,1.225,8.984,280
1.84e-05,3.655,3.06,0.595,6.639,1.533,1.279,9.45,300
1.6e-05,4.534,3.655,0.879,6.501,1.501,1.254,9.256,320
1.947e-05,5.037,4.382,0.654,6.61,1.199,1.285,9.094,340
1.894e-05,6.453,4.884,1.568,6.178,1.332,1.24,8.75,360
1.84e-05,4.965,3.905,1.06,6.416,1.68,1.22,9.316,380
1.6e-05,5.661,4.066,1.595,6.166,1.43,1.284,8.879,400
1.841e-05,6.993,4.691,2.302,5.847,1.793,1.242,8.882,420
1.68e-05,6.043,3.704,2.338,5.83,1.824,1.261,8.915,440
1.52e-05,6.721,3.832,2.889,5.591,1.897,1.274,8.762,460
1.6e-05,6.38,3.199,3.181,5.467,1.844,1.414,8.725,480
1.841e-05,7.533,4.334,3.199,5.459,2.237,1.314,9.01,500
1.68e-05,8.237,4.448,3.789,5.216,2.522,1.36,9.097,520
1.52e-05,10.307,6.88,3.427,5.364,2.223,1.35,8.937,540
1.6e-05,10.621,5.868,4.753,4.835,2.441,1.359,8.635,560
1.841e-05,8.475,2.922,5.553,4.536,2.217,1.338,8.09,580
1.68e-05,9.092,3.335,5.757,4.462,2.842,1.364,8.667,600
1.52e-05,9.255,4.395,4.86,4.794,3.669,1.4,9.863,620
1.6e-05,10.763,4.387,6.376,4.243,2.879,1.369,8.492,640
1.841e-05,10.113,3.81,6.302,4.269,3.209,1.426,8.903,660
1.68e-05,9.353,5.089,4.264,5.025,3.059,1.413,9.497,680
1.52e-05,11.914,4.233,7.681,3.811,3.561,1.411,8.783,700
1.6e-05,10.752,3.099,7.654,3.82,2.815,1.408,8.042,720
1.841e-05,10.874,3.895,6.979,4.039,3.333,1.399,8.771,740
1.68e-05,12.316,4.077,8.24,3.637,3.223,1.401,8.261,760
1.52e-05,9.946,5.015,4.931,4.767,3.374,1.47,9.611,780
1.28e-05,12.072,3.88,8.192,3.652,3.427,1.395,8.474,800
9.52e-06,10.239,3.342,6.897,4.066,3.422,1.447,8.935,820
2.95e-06,10.416,4.792,5.625,4.509,3.696,1.384,9.589,840
1.28e-05,12.329,4.53,7.799,3.774,3.363,1.414,8.551,860
6.24e-06,13.641,3.172,10.469,3.009,3.112,1.392,7.512,880
1.28e-05,12.296,4.086,8.21,3.647,3.211,1.392,8.25,900
9.52e-06,11.619,5.554,6.065,4.352,3.275,1.389,9.016,920
2.95e-06,12.51,3.572,8.938,3.429,3.372,1.449,8.25,940
1.28e-05,13.044,3.565,9.479,3.276,3.606,1.433,8.314,960
6.24e-06,10.503,4.56,5.943,4.395,3.547,1.4,9.342,980
0.0,11.913,3.38,8.534,3.549,3.134,1.407,8.09,999
